sweep_value,ghz_entropy_global_pure,ghz_entropy_global_circuit,ghz_entropy_pure,ghz_entropy_circuit,ghz_fidelity_reference_pure,ghz_fidelity_reference_circuit,ghz_concurrence_ab_pure,ghz_concurrence_ab_circuit,ghz_monogamy_pure,ghz_monogamy_circuit,w_entropy_global_pure,w_entropy_global_circuit,w_entropy_pure,w_entropy_circuit,w_fidelity_reference_pure,w_fidelity_reference_circuit,w_concurrence_ab_pure,w_concurrence_ab_circuit,w_monogamy_pure,w_monogamy_circuit
0.34,2.4575401945105195,2.2464395094433263,1.0,0.9999999999999999,0.48041955858921753,0.5342000036869723,0.0,0.0,1.0000000000000009,0.9999999999999996,2.4268901348628527,2.6027822924336523,0.9671942574605251,0.9842987529636409,0.48684010237427405,0.4093000037362076,0.0,0.0,0.9548673580246922,0.978312528888879
0.36,2.5189906325003526,2.310785137769108,1.0,1.0,0.4570240030247552,0.5122000036827558,0.0,0.0,1.0,1.0000000000000004,2.4887703765409617,2.656921609911306,0.9693693052373911,0.9858962445123162,0.46359467026302864,0.38544444808380474,0.0,0.0,0.9578382222222213,0.9805118399999919
0.38,2.5753268041234,2.3709680154042374,1.0,0.9999999999999999,0.43442489189865624,0.4908000036711533,0.0,0.0,1.0,0.9999999999999996,2.5456845998559365,2.6992994784227804,0.9714681869001777,0.9871635628578189,0.4411203986383346,0.3655555591623533,0.0,0.0,0.9607079506172838,0.9822577599999929
0.4,2.626834778513883,2.4272013763584543,1.0,1.0,0.41262222521149466,0.47000000365279054,0.0,0.0,1.0000000000000004,1.0,2.5979082455014053,2.746565167022919,0.9734911299751576,0.9889039235192487,0.41941728750088103,0.34424444794760495,0.0,0.0,0.9634765432098766,0.9846570488888831
0.42,2.673784312569275,2.4796832434370097,0.9999999999999999,1.0,0.3916160029638047,0.4498000036282377,0.0,0.0,0.9999999999999996,1.0,2.6457004569988567,2.7931823763448596,0.9754383526853785,0.9912221097190865,0.3984853368513037,0.31894444788713366,0.0,0.0,0.9661439999999997,0.9878559599999961
0.44,2.716431547244186,2.5285986700794703,1.0,1.0,0.3714062251560868,0.43020000359802246,0.0,0.0,1.0,1.0000000000000004,2.689306712305333,2.8101763253958283,0.9773100640991839,0.9920931660426839,0.37832454669019777,0.31058889232721615,0.0,0.0,0.9687103209876544,0.9890588399999967
0.46,2.755021245025753,2.5741215906773474,1.0,0.9999999999999999,0.35199289178881704,0.4112000035626372,0.0,0.0,1.0000000000000009,0.9999999999999996,2.7289610044616266,2.8414618219030965,0.9791064642713319,0.9939389978225546,0.35893491701812963,0.29045555888581714,0.0,0.0,0.9711755061728398,0.9916094399999982
0.48,2.789788662373732,2.616416362610885,0.9999999999999998,0.9999999999999999,0.3333760028624512,0.3928000035225403,0.0,0.0,0.9999999999999993,0.9999999999999996,2.764887663911071,2.8632949659876363,0.980827744376962,0.9935440051587672,0.34031644783563475,0.27571111438463886,0.0,0.0,0.9735395555555546,0.9910634488888879
0.5,2.8209611256393643,2.6556390622295662,1.0,1.0,0.31555555837742855,0.37500000347816415,0.0,0.0,1.0000000000000004,1.0,2.7973028904386976,2.8876973759125137,0.9824740868386409,0.9951046058843253,0.3224691391432301,0.259244447628051,0.0,0.0,0.9758024691358027,0.9932212222222228
0.52,2.8487593601566554,2.6919385817368062,1.0000000000000002,1.0,0.2985315583341783,0.35780000342992285,0.0,0.0,1.000000000000001,1.0000000000000004,2.8264160443829924,2.9105946970660592,0.9840456654467056,0.9956368782277735,0.3053929909414163,0.24430000308691896,0.0,0.0,0.977964246913581,0.9939575288888907
0.54,2.873398607728459,2.725457562638794,1.0,1.0000000000000002,0.2823040027331234,0.34120000337820844,0.0,0.0,1.0,1.0000000000000009,2.8524307327989247,2.912834192126042,0.985542645473113,0.9966026998973141,0.28908800323068373,0.24274444753262,0.0,0.0,0.9800248888888885,0.9952940400000014
0.56,2.89508955619816,2.756333192882925,1.0,0.9999999999999999,0.2668728915746805,0.32520000332340027,0.0,0.0,1.0000000000000009,0.9999999999999996,2.8755457152194626,2.9306050130806414,0.9869651837789887,0.9969376231178653,0.2735541760115128,0.22481111412881374,0.0,0.0,0.9819843950617289,0.9957576488888913
0.58,2.9140390952498287,2.784697888224704,1.0,1.0,0.25223822485926695,0.30980000326586404,0.0,0.0,1.0000000000000009,1.0,2.8959556446332546,2.945923561625594,0.9883134289160453,0.9974073630702729,0.2587915092843812,0.21253333626048704,0.0,0.0,0.9838427654320996,0.9964079955555594
0.6,2.930450904375012,2.810679873154221,0.9999999999999998,1.0,0.23840000258730132,0.29500000320595426,0.0,0.0,0.9999999999999993,1.0,2.913851651631352,2.959186635341278,0.9895875212220554,0.9982436876173215,0.24480000304976338,0.19707778065751136,0.0,0.0,0.9855999999999989,0.9975662222222266
