sweep_value,ghz_entropy_global_pure,ghz_entropy_global_circuit,ghz_entropy_pure,ghz_entropy_circuit,ghz_fidelity_reference_pure,ghz_fidelity_reference_circuit,ghz_concurrence_ab_pure,ghz_concurrence_ab_circuit,ghz_monogamy_pure,ghz_monogamy_circuit,w_entropy_global_pure,w_entropy_global_circuit,w_entropy_pure,w_entropy_circuit,w_fidelity_reference_pure,w_fidelity_reference_circuit,w_concurrence_ab_pure,w_concurrence_ab_circuit,w_monogamy_pure,w_monogamy_circuit
0.2,1.8547575685884141,1.6566939318073262,1.0000000000000002,1.0,0.6664888917516297,0.7050000034389889,0.0,0.0,1.000000000000001,1.0000000000000004,1.8261876505886854,2.061801056864665,0.9498151300105502,0.9671250573712067,0.6711506207007804,0.599788892661799,0.09221418184496655,0.016097925536152746,0.9095855178834777,0.9545137456823034
0.22,1.9623389896250656,1.7582291100983705,1.0,0.9999999999999999,0.6375182251411263,0.6788000035118559,0.0,0.0,1.0,0.9999999999999996,1.9328423699400963,2.1512049149096915,0.9525305276604157,0.9690479093442748,0.642507065210714,0.5728333370918305,0.05701972672716121,0.0,0.9253751910432158,0.9573990399999825
0.24,2.0619316281961164,1.853332066719705,1.0000000000000002,0.9999999999999999,0.6093440029625037,0.653200003569961,0.0,0.0,1.0000000000000009,0.9999999999999996,2.031739912048126,2.2833816228459356,0.9551678918612525,0.9741322726207491,0.6146346701994038,0.530955559336388,0.023352896203342022,0.0,0.9358921012982071,0.9643545599999845
0.26,2.154096027563874,1.9424583512113662,1.0000000000000002,1.0,0.581966225217141,0.628200003614897,0.0,0.0,1.0000000000000009,1.0000000000000004,2.1234268814028168,2.3541746441372204,0.957727520102367,0.977641243963111,0.5875334356685068,0.5052777816439863,0.0,0.0,0.941810150870436,0.9691646399999854
0.28,2.2393233377406103,2.0260031129122265,1.0,1.0,0.5553848919061962,0.603800003648001,0.0,0.0,1.0,1.0000000000000002,2.2083815198111165,2.415065423228736,0.9602096992984309,0.9763251070480261,0.5612033616194221,0.48514444820076563,0.0,0.0,0.945347950617283,0.9673595555555421
0.3,2.3180502132292182,2.104313872870031,1.0,0.9999999999999999,0.5296000030306657,0.5800000036704113,0.0,0.0,1.0000000000000002,0.9999999999999996,2.287028338297978,2.514167870896009,0.9626147059982517,0.9820389857948215,0.5356444480533462,0.44784444821882613,0.0,0.0,0.948622222222222,0.9752042488888777
0.32,2.390669824983129,2.177699939117648,1.0000000000000002,1.0,0.5046115585914163,0.5568000036831133,0.0,0.0,1.000000000000001,1.0,2.359748927568561,2.5546538340125027,0.9649428065838916,0.9831659158856674,0.510856694971321,0.4325666703586654,0.0,0.0,0.9517953580246925,0.9767539155555451
0.34,2.4575401945105195,2.2464395094433263,1.0,0.9999999999999999,0.48041955858921753,0.5342000036869723,0.0,0.0,1.0000000000000009,0.9999999999999996,2.4268901348628527,2.6100948072458054,0.9671942574605251,0.9845686584264288,0.48684010237427405,0.40727778151778854,0.0,0.0,0.9548673580246922,0.9786839999999906
0.36,2.5189906325003526,2.310785137769108,1.0,1.0,0.4570240030247552,0.5122000036827558,0.0,0.0,1.0,1.0000000000000004,2.4887703765409617,2.653519131823691,0.9693693052373911,0.9860848128177917,0.46359467026302864,0.38825555920252536,0.0,0.0,0.9578382222222213,0.9807715555555474
0.38,2.5753268041234,2.3709680154042374,1.0,0.9999999999999999,0.43442489189865624,0.4908000036711533,0.0,0.0,1.0,0.9999999999999996,2.5456845998559365,2.703039315063696,0.9714681869001777,0.9875091521655388,0.4411203986383346,0.3639111146940352,0.0,0.0,0.9607079506172838,0.9827340399999929
0.4,2.626834778513883,2.4272013763584543,1.0,1.0,0.41262222521149466,0.47000000365279054,0.0,0.0,1.0000000000000004,1.0,2.5979082455014053,2.7357396661721745,0.9734911299751576,0.9900235279473857,0.41941728750088103,0.34852222582812786,0.0,0.0,0.9634765432098766,0.9862015822222163
